date,t_hs,t_hs_set,water_pressure,t_dhw,t_dhw_set,t_return,flow_rate,status_pump,runtime_comp,runtime_pump,posmix,qboh,qch,qwp,qdhw,tvbh2,tliq2,tr2,mode,pump,ehs,bpv,t_vbh,t_r1,v1,total_energy,t_ext,t_hc_set,t_hc,duration
2023-01-12 19:22:45.315274,20.1,42.6,1.328,42.0,48.0,23.5,2070,1,1766,2877,62,13,8711,11605,2930,27.1,15.0,23.5,3,95,0,100,27.3,23.5,2076,3097,7.3,42.6,27.5,0:00:03.008373
2023-01-12 19:23:15.339870,27.9,42.6,1.329,42.0,48.0,28.0,2076,1,1766,2877,63,13,8711,11605,2930,32.3,4.5,28.0,3,95,0,100,32.5,28.0,2064,3097,7.3,42.6,32.6,0:00:02.995391
2023-01-12 19:23:45.302702,32.4,42.6,1.34,41.9,48.0,34.0,1278,0,1766,2877,31,13,8711,11605,2930,34.0,1.1,34.0,1,0,0,65,33.8,34.0,1260,3097,7.3,42.6,33.8,0:00:02.933994
2023-01-12 19:24:16.265089,33.5,42.6,1.334,41.8,48.0,34.5,1200,0,1766,2877,5,13,8711,11605,2930,33.5,2.1,34.6,1,0,0,25,33.5,35.0,1194,3097,7.3,42.6,33.5,0:00:02.932737
2023-01-12 19:24:47.227513,35.1,42.6,1.332,41.6,48.0,36.1,1110,0,1766,2877,0,13,8711,11605,2930,35.1,4.0,36.3,1,0,0,12,35.1,36.5,1134,3097,7.3,42.6,35.2,0:00:02.933816
2023-01-12 19:25:18.664972,36.4,42.6,1.332,41.5,48.0,37.0,1164,0,1766,2877,0,13,8711,11605,2930,36.3,5.0,37.0,1,0,0,12,36.3,37.0,1122,3097,7.2,42.6,36.3,0:00:03.407485
2023-01-12 19:25:49.123619,36.2,42.6,1.329,41.5,48.0,37.0,1122,0,1766,2877,0,13,8711,11605,2930,36.2,5.5,37.0,1,0,0,12,36.2,37.0,1110,3097,7.2,42.6,36.2,0:00:03.430334
2023-01-12 19:26:19.524714,36.0,42.6,1.343,41.4,48.0,36.5,0,0,1766,2877,0,13,8711,11605,2930,36.1,5.5,36.5,1,0,0,22,36.1,36.5,0,3097,7.2,42.6,36.1,0:00:03.373104
2023-01-12 19:26:49.856248,35.5,42.6,1.315,41.4,48.0,36.5,2130,0,1766,2877,0,13,8711,11605,2930,35.4,3.0,36.5,1,0,0,85,35.2,36.5,2142,3097,7.2,42.6,35.0,0:00:03.303872
2023-01-12 19:27:20.179690,31.0,42.6,1.315,41.3,48.0,35.5,2166,0,1766,2877,0,13,8711,11605,2930,30.9,3.0,35.5,1,0,0,45,30.8,35.5,2148,3097,7.2,42.6,30.7,0:00:03.295159
2023-01-12 19:27:50.593185,36.7,42.6,1.301,41.3,48.0,33.5,1890,0,1766,2877,0,13,8711,11605,2930,37.2,5.5,33.5,1,0,0,12,37.4,33.5,1884,3097,7.2,42.6,37.7,0:00:03.385492
2023-01-12 19:28:20.937011,37.3,42.6,1.301,41.3,48.0,35.0,1866,0,1766,2877,0,13,8711,11605,2930,37.1,19.5,35.0,1,0,0,12,37.1,35.0,1890,3097,7.2,42.6,37.0,0:00:03.315468
2023-01-12 19:28:51.272724,36.6,42.6,1.306,41.3,48.0,35.1,1884,0,1766,2877,0,13,8711,11605,2930,36.6,27.5,35.5,1,0,0,12,36.6,35.5,1878,3097,7.2,42.6,36.6,0:00:03.308247
2023-01-12 19:29:21.608338,36.7,42.6,1.306,41.3,48.0,35.5,1896,0,1766,2877,0,13,8711,11605,2930,36.7,31.3,35.1,1,0,0,12,36.7,35.0,1884,3097,7.2,42.6,36.7,0:00:03.307327
2023-01-12 19:29:51.948103,37.4,42.6,1.339,41.3,48.0,35.0,786,0,1766,2877,0,13,8711,11605,2930,37.4,33.3,35.0,1,0,0,12,37.4,35.0,786,3097,7.2,42.6,37.6,0:00:03.312821
2023-01-12 19:30:22.271551,39.2,42.6,1.337,41.3,48.0,35.0,774,0,1766,2877,0,13,8711,11605,2930,39.0,35.0,35.0,1,0,0,12,39.1,35.0,780,3097,7.1,42.6,39.1,0:00:03.294580
2023-01-12 19:30:52.484246,39.5,42.6,1.336,41.3,48.0,35.0,786,0,1766,2877,0,13,8711,11605,2930,39.4,36.0,35.0,1,0,0,12,39.5,35.0,780,3097,7.1,42.6,39.4,0:00:03.183412
2023-01-12 19:31:22.688718,39.6,42.6,1.338,41.3,48.0,35.0,786,0,1766,2877,0,13,8711,11605,2930,39.5,36.5,35.0,1,0,0,12,39.5,35.0,780,3097,7.1,42.6,39.5,0:00:03.176428
2023-01-12 19:31:52.889276,39.6,42.6,1.338,41.3,48.0,35.0,792,0,1766,2877,0,13,8711,11605,2930,39.5,36.5,35.0,1,0,0,12,39.5,35.0,786,3097,7.1,42.6,39.5,0:00:03.171479
2023-01-12 19:32:23.085644,39.6,42.6,1.336,41.3,48.0,34.6,780,0,1766,2877,0,13,8711,11605,2930,39.6,37.0,35.0,1,0,0,12,39.6,35.0,780,3097,7.1,42.6,39.6,0:00:03.167731
2023-01-12 19:32:53.290131,39.7,42.6,1.337,41.3,48.0,34.5,786,0,1766,2877,0,13,8711,11605,2930,39.6,36.5,34.5,1,0,0,12,39.6,34.5,780,3097,7.1,42.6,39.6,0:00:03.175219
2023-01-12 19:33:23.498858,39.8,42.6,1.337,41.3,48.0,34.5,774,0,1766,2877,0,13,8712,11605,2930,39.8,36.0,34.5,1,0,0,12,39.8,34.5,780,3097,7.1,42.6,39.8,0:00:03.198833
2023-01-12 19:33:53.715696,40.1,42.6,1.341,41.3,48.0,34.5,786,0,1766,2877,0,13,8712,11605,2930,40.0,35.0,34.5,1,0,0,12,40.0,34.5,786,3097,7.1,42.6,40.0,0:00:03.187561
2023-01-12 19:34:23.920475,40.1,42.6,1.341,41.3,48.0,34.5,774,0,1766,2878,0,13,8712,11605,2930,40.1,34.0,34.5,1,0,0,12,40.1,34.5,774,3097,7.1,42.6,40.1,0:00:03.176440
2023-01-12 19:34:54.112736,40.3,42.6,1.341,41.3,48.0,34.5,774,0,1766,2878,0,13,8712,11605,2930,40.3,33.5,34.5,1,0,0,12,40.3,34.5,786,3097,7.0,42.7,40.3,0:00:03.164317
2023-01-12 19:35:24.079792,40.5,42.7,1.342,41.3,48.0,34.5,780,0,1766,2878,0,13,8712,11606,2930,40.4,33.0,34.5,1,0,0,12,40.4,34.5,786,3097,7.0,42.7,40.4,0:00:02.939276
2023-01-12 19:35:55.054409,40.5,42.7,1.342,41.3,48.0,34.5,780,0,1766,2878,0,13,8712,11606,2930,40.4,32.5,34.5,1,0,0,12,40.4,34.5,774,3097,7.0,42.7,40.4,0:00:02.943761
2023-01-12 19:36:26.041336,40.5,42.7,1.344,41.3,48.0,34.5,780,0,1766,2878,0,13,8712,11606,2930,40.4,32.5,34.5,1,0,0,12,40.4,34.5,780,3097,7.0,42.7,40.4,0:00:02.956821
2023-01-12 19:36:57.007838,40.6,42.7,1.346,41.3,48.0,34.5,798,0,1766,2878,0,13,8712,11606,2930,40.6,32.5,34.5,1,0,0,12,40.6,34.5,792,3097,7.0,42.7,40.6,0:00:02.936211
2023-01-12 19:37:27.974108,40.7,42.7,1.346,41.3,48.0,34.5,780,0,1766,2878,0,13,8712,11606,2930,40.7,32.5,34.5,1,0,0,12,40.6,34.5,786,3097,7.0,42.7,40.6,0:00:02.936654
2023-01-12 19:38:02.217571,None,None,None,None,48.0,35.0,780,0,1766,2878,0,13,8712,11606,2930,40.7,32.5,35.0,1,0,0,12,40.7,35.0,786,3097,7.0,42.7,40.7,0:00:06.213045
2023-01-12 19:38:32.430461,40.8,42.7,1.347,41.3,48.0,35.0,780,0,1766,2878,0,13,8712,11606,2930,40.8,32.5,35.0,1,0,0,12,40.8,35.0,792,3097,7.0,42.7,40.8,0:00:06.187765
2023-01-12 19:39:02.618598,40.9,42.7,1.347,41.3,48.0,35.0,786,0,1766,2878,0,13,8712,11606,2930,40.8,33.0,35.0,1,0,0,12,40.8,35.0,786,3097,7.0,42.7,40.8,0:00:06.163936
2023-01-12 19:39:32.810632,41.0,42.7,1.349,41.3,48.0,35.0,786,0,1766,2878,0,13,8712,11606,2930,40.9,33.0,35.0,1,0,0,12,40.9,35.0,780,3097,7.0,42.7,41.0,0:00:06.165951
2023-01-12 19:40:03.027760,41.2,42.7,1.348,41.3,48.0,35.0,774,0,1766,2878,0,13,8712,11606,2930,41.2,33.0,35.0,1,0,0,12,41.2,35.0,780,3097,6.9,42.7,41.2,0:00:06.191097
2023-01-12 19:40:33.215876,41.4,42.7,1.35,41.3,48.0,35.0,780,0,1766,2878,0,13,8712,11606,2930,41.4,33.0,35.0,1,0,0,12,41.4,35.0,780,3097,6.9,42.7,41.4,0:00:06.162110
2023-01-12 19:41:03.408307,41.6,42.7,1.352,41.3,48.0,35.0,774,0,1766,2878,0,13,8712,11606,2930,41.5,33.0,35.0,1,0,0,12,41.5,35.0,774,3097,6.9,42.7,41.5,0:00:06.166324
2023-01-12 19:41:33.612893,41.7,42.7,1.35,41.3,48.0,35.5,798,0,1766,2878,0,13,8712,11606,2930,41.7,33.5,35.5,1,0,0,12,41.7,35.5,792,3097,6.9,42.7,41.7,0:00:06.178296
2023-01-12 19:42:03.821514,42.1,42.7,1.353,41.3,48.0,35.5,792,0,1766,2878,0,13,8712,11606,2930,42.0,33.5,35.5,1,0,0,12,42.0,35.5,780,3097,6.9,42.7,42.0,0:00:06.183559
2023-01-12 19:42:34.083275,42.2,42.7,1.353,41.3,48.0,35.5,792,0,1766,2878,0,13,8712,11606,2930,42.1,33.5,35.5,1,0,0,12,42.1,35.5,786,3097,6.9,42.7,42.2,0:00:06.235374
2023-01-12 19:43:04.681239,42.4,42.7,1.353,41.3,48.0,35.5,786,0,1766,2878,0,13,8712,11606,2930,42.3,35.5,35.5,1,0,0,12,42.3,35.5,792,3097,6.9,42.7,42.3,0:00:06.572435
2023-01-12 19:43:35.574012,42.3,42.7,1.353,41.3,48.0,35.5,774,0,1766,2878,0,13,8713,11606,2930,42.3,37.0,35.5,1,0,0,12,42.3,35.5,780,3097,6.9,42.7,42.3,0:00:06.866652
2023-01-12 19:44:06.458589,42.2,42.7,1.355,41.3,48.0,36.0,792,0,1766,2878,0,13,8713,11606,2930,42.1,38.0,36.0,1,0,0,12,42.1,36.0,780,3097,6.9,42.7,42.1,0:00:06.860999
2023-01-12 19:44:37.355374,42.2,42.7,1.357,41.3,48.0,36.0,780,0,1766,2878,0,13,8713,11606,2930,42.2,38.5,36.0,1,0,0,12,42.2,36.0,804,3097,6.9,42.7,42.2,0:00:06.871518
2023-01-12 19:45:08.129305,42.6,42.7,1.356,41.3,48.0,36.0,798,0,1766,2878,0,13,8713,11607,2930,42.6,39.0,36.0,1,0,0,12,42.6,36.0,780,3097,6.8,42.7,42.6,0:00:06.747724
2023-01-12 19:45:39.030465,42.9,42.7,1.358,41.3,48.0,36.0,786,0,1766,2878,0,13,8713,11607,2930,42.9,39.5,36.0,1,0,0,12,42.9,36.0,798,3097,6.8,42.7,42.9,0:00:06.875099
2023-01-12 19:46:09.558401,43.2,42.7,1.357,41.3,48.0,36.0,780,0,1767,2878,0,13,8713,11607,2930,43.2,39.0,36.0,1,0,0,12,43.2,36.0,786,3097,6.8,42.7,43.2,0:00:06.502621
2023-01-12 19:46:40.094764,43.7,42.7,1.358,41.3,48.0,36.0,792,0,1767,2878,0,13,8713,11607,2930,43.6,38.0,36.0,1,0,0,12,43.6,36.0,780,3097,6.8,42.7,43.7,0:00:06.511077
2023-01-12 19:47:10.651603,44.0,42.7,1.359,41.3,48.0,36.5,786,0,1767,2878,0,13,8713,11607,2930,43.9,36.5,36.5,1,0,0,12,43.9,36.5,792,3097,6.8,42.7,43.9,0:00:06.530695
2023-01-12 19:47:41.212552,44.0,42.7,1.36,41.3,48.0,36.5,798,0,1767,2878,0,13,8713,11607,2930,44.0,35.5,36.5,1,0,0,12,43.9,36.5,780,3097,6.8,42.7,43.9,0:00:06.535857
2023-01-12 19:48:11.777710,43.8,42.7,1.36,41.2,48.0,36.5,786,0,1767,2878,0,13,8713,11607,2930,43.8,35.0,36.5,1,0,0,12,43.8,36.5,786,3097,6.8,42.7,43.8,0:00:06.538929
2023-01-12 19:48:42.404101,43.8,42.7,1.362,41.2,48.0,36.5,816,0,1767,2878,0,13,8713,11607,2930,43.8,35.0,36.5,1,0,0,12,43.7,36.5,792,3097,6.8,42.7,43.7,0:00:06.600978
2023-01-12 19:49:12.940464,43.6,42.7,1.364,41.1,48.0,36.5,780,0,1767,2878,0,13,8713,11607,2930,43.6,35.0,36.5,1,0,0,12,43.6,36.5,786,3097,6.8,42.7,43.6,0:00:06.511641
2023-01-12 19:49:43.493454,43.8,42.7,1.364,41.1,48.0,37.0,792,0,1767,2878,0,13,8713,11607,2930,43.7,35.0,37.0,1,0,0,12,43.7,37.0,780,3097,6.8,42.7,43.7,0:00:06.527075
2023-01-12 19:50:14.034272,43.9,42.7,1.363,41.1,48.0,37.0,792,0,1767,2878,0,13,8713,11607,2930,43.9,35.0,37.0,1,0,0,12,43.8,37.0,780,3097,6.7,42.7,43.9,0:00:06.515373
2023-01-12 19:50:44.586736,44.0,42.7,1.364,41.1,48.0,37.0,792,0,1767,2878,0,13,8713,11607,2930,43.9,35.0,37.0,1,0,0,12,43.9,37.0,792,3097,6.7,42.7,43.9,0:00:06.527077
2023-01-12 19:51:15.127464,43.9,42.7,1.368,41.1,48.0,37.0,780,0,1767,2878,0,13,8713,11607,2930,43.8,35.0,37.0,1,0,0,12,43.8,37.0,786,3097,6.7,42.7,43.8,0:00:06.514475
2023-01-12 19:51:45.676206,43.8,42.7,1.368,41.1,48.0,37.0,786,0,1767,2878,0,13,8713,11607,2930,43.8,35.0,37.0,1,0,0,12,43.8,37.0,780,3097,6.7,42.7,43.8,0:00:06.522660
2023-01-12 19:52:16.409278,43.8,42.7,1.366,41.1,48.0,37.5,786,0,1767,2878,0,13,8714,11607,2930,43.8,35.0,37.5,1,0,0,12,43.8,37.5,792,3097,6.7,42.7,43.8,0:00:06.707852
2023-01-12 19:52:47.113681,43.8,42.7,1.368,41.1,48.0,37.5,780,0,1767,2878,0,13,8714,11607,2930,43.8,35.5,37.5,1,0,0,12,43.7,37.5,786,3097,6.7,42.7,43.7,0:00:06.678895
2023-01-12 19:53:17.953247,43.7,42.7,1.367,41.1,48.0,37.5,780,0,1767,2878,0,13,8714,11607,2930,43.7,35.5,37.5,1,0,0,12,43.7,37.5,798,3097,6.7,42.7,43.7,0:00:06.813388
2023-01-12 19:53:48.784493,43.7,42.7,1.365,41.1,48.0,37.5,774,0,1767,2878,0,13,8714,11608,2930,43.6,36.5,37.5,1,0,0,12,43.6,37.5,792,3097,6.7,42.7,43.6,0:00:06.805001
2023-01-12 19:54:19.673220,43.5,42.7,1.368,41.1,48.0,38.0,786,0,1767,2878,0,13,8714,11608,2930,43.5,38.0,38.0,1,0,0,12,43.5,38.0,780,3097,6.7,42.7,43.5,0:00:06.862275
2023-01-12 19:54:50.631604,43.3,42.7,1.368,41.1,48.0,38.0,780,0,1767,2878,0,13,8714,11608,2930,43.3,39.5,38.0,1,0,0,12,43.3,38.0,786,3097,6.7,42.7,43.3,0:00:06.932286
2023-01-12 19:55:21.569369,43.5,42.7,1.37,41.1,48.0,38.0,816,0,1767,2878,0,13,8714,11608,2930,43.4,40.0,38.0,1,0,0,12,43.3,38.0,786,3097,6.6,42.7,43.3,0:00:06.911504
2023-01-12 19:55:52.466236,43.5,42.7,1.368,41.1,48.0,38.0,780,0,1767,2878,0,13,8714,11608,2930,43.5,40.5,38.0,1,0,0,12,43.5,38.0,786,3097,6.6,42.7,43.5,0:00:06.871723
2023-01-12 19:56:23.350833,43.6,42.7,1.37,41.1,48.0,38.0,780,0,1767,2878,0,13,8714,11608,2930,43.6,40.5,38.0,1,0,0,12,43.6,38.0,792,3097,6.6,42.7,43.6,0:00:06.858579
2023-01-12 19:56:54.247495,43.8,42.7,1.371,41.1,48.0,38.5,792,0,1767,2878,0,13,8714,11608,2930,43.8,41.0,38.5,1,0,0,12,43.8,38.5,786,3097,6.6,42.7,43.8,0:00:06.871212
2023-01-12 19:57:25.038052,44.0,42.7,1.37,41.1,48.0,38.5,780,0,1767,2878,0,13,8714,11608,2930,44.0,41.0,38.5,1,0,0,12,44.0,38.5,792,3097,6.6,42.7,44.0,0:00:06.764965
2023-01-12 19:57:55.565548,44.1,42.7,1.37,41.1,48.0,38.5,780,0,1767,2878,0,13,8714,11608,2930,44.1,41.0,38.5,1,None,None,None,None,None,None,None,None,None,None,0:00:06.501323
2023-01-12 19:58:26.119095,44.3,42.7,1.369,41.1,48.0,38.5,792,0,1767,2878,0,13,8714,11608,2930,44.2,40.0,38.5,1,0,0,12,44.2,38.5,780,3097,6.6,42.7,44.3,0:00:06.528475
2023-01-12 19:58:56.659590,44.3,42.7,1.369,41.1,48.0,38.5,786,0,1767,2878,0,13,8714,11608,2930,44.2,38.5,38.5,1,0,0,12,44.2,38.5,774,3097,6.6,42.7,44.2,0:00:06.520234
2023-01-12 19:59:27.208066,44.2,42.7,1.371,41.1,48.0,38.5,786,0,1767,2878,0,13,8714,11608,2930,44.2,37.5,38.5,1,0,0,12,44.2,38.5,768,3097,6.6,42.7,44.2,0:00:06.524613
2023-01-12 19:59:57.765147,43.2,0.0,1.362,41.1,48.0,38.5,1122,0,1767,2878,0,13,8714,11608,2930,42.8,37.0,38.5,0,0,0,12,42.4,38.5,1116,3097,6.5,42.8,42.1,0:00:06.531380
2023-01-12 20:00:28.309468,38.5,0.0,1.365,41.1,48.0,38.5,774,0,1767,2878,0,13,8714,11608,2930,38.8,34.0,38.5,0,0,0,12,38.7,38.5,780,3097,6.5,42.8,38.7,0:00:06.518087
2023-01-12 20:00:59.525889,38.4,0.0,1.362,41.1,48.0,38.5,774,0,1767,2878,0,13,8714,11608,2930,38.6,30.0,39.0,0,0,0,12,38.6,39.0,774,3097,6.5,42.8,38.6,0:00:07.192435
2023-01-12 20:01:29.075344,38.9,0.0,1.359,41.1,48.0,39.5,774,0,1767,2878,0,13,8714,11608,2930,39.0,28.0,39.5,0,0,0,12,39.1,39.5,780,3097,6.5,42.8,39.2,0:00:06.524316
2023-01-12 20:01:59.812350,40.0,0.0,1.357,41.1,48.0,40.5,774,0,1767,2878,0,13,8714,11608,2930,40.1,26.5,40.5,0,0,0,12,40.1,40.5,786,3097,6.5,42.8,40.2,0:00:06.710969
2023-01-12 20:02:30.365182,40.5,0.0,1.356,41.1,48.0,40.5,780,0,1767,2878,0,13,8714,11608,2930,40.5,25.0,40.5,0,0,0,12,40.4,40.5,774,3097,6.5,42.8,40.4,0:00:06.526638
2023-01-12 20:03:01.184213,39.7,0.0,1.356,41.1,48.0,39.5,786,0,1767,2878,0,13,8714,11608,2930,39.7,24.5,39.5,0,0,0,12,39.6,39.5,768,3097,6.5,42.8,39.6,0:00:06.793789
2023-01-12 20:03:31.728831,38.9,0.0,1.354,41.1,48.0,39.5,780,0,1767,2878,0,13,8714,11608,2930,39.0,23.5,39.5,0,0,0,12,39.0,39.5,804,3097,6.5,42.8,39.0,0:00:06.522171
