Total input power,Load power,Grid power,Total battery power,Total active power,Input power,Peak active power of current day,Active power,Accumulated energy yield,Daily energy yield,[Power meter collection] Active power,Positive active electricity,Reverse active power,[Energy storage] SOC,[Energy storage] Charge/Discharge power,[Energy storage] Current-day charge capacity,[Energy storage] Current-day discharge capacity,System time,[Backup] Switch to off-grid
3.87,0.221,-0.806,2.843,2.843,2.877,1.229,0.0,6920.19,1.56,812.0,5934.75,854.53,64.0,2880.0,2.17,2.8,1661503996.0,0.0
3.934,0.193,-0.842,2.899,2.899,2.895,1.229,0.0,6920.19,1.56,875.0,5934.77,854.53,64.0,2910.0,2.17,2.8,1661504072.0,0.0
3.934,0.193,-0.842,2.899,2.899,2.914,1.229,0.0,6920.19,1.56,781.0,5934.79,854.53,64.0,2909.0,2.31,2.8,1661504144.0,0.0
3.957,0.248,-0.79,2.919,2.919,2.947,1.229,0.0,6920.19,1.56,806.0,5934.79,854.53,65.0,2948.0,2.31,2.8,1661504219.0,0.0
4.026,0.256,-0.803,2.967,2.967,2.97,1.229,0.0,6920.19,1.56,823.0,5934.81,854.53,65.0,2982.0,2.45,2.8,1661504291.0,0.0
4.026,0.256,-0.803,2.967,2.967,2.997,1.229,0.0,6920.19,1.56,843.0,5934.83,854.53,65.0,2997.0,2.45,2.8,1661504364.0,0.0
4.127,0.153,-0.931,3.043,3.043,3.034,1.229,0.0,6920.19,1.56,941.0,5934.85,854.53,65.0,3049.0,2.45,2.8,1661504439.0,0.0
4.127,0.153,-0.931,3.043,3.043,3.067,1.229,0.0,6920.19,1.56,936.0,5934.87,854.53,65.0,3064.0,2.59,2.8,1661504512.0,0.0
4.163,0.157,-0.937,3.069,3.069,3.085,1.229,0.0,6920.19,1.56,945.0,5934.89,854.53,66.0,3087.0,2.59,2.8,1661504584.0,0.0
4.163,0.157,-0.937,3.069,3.069,3.119,1.229,0.0,6920.19,1.56,967.0,5934.91,854.53,66.0,3120.0,2.69,2.8,1661504657.0,0.0
4.226,0.152,-0.955,3.119,3.119,3.104,1.229,0.0,6920.19,1.56,954.0,5934.93,854.53,66.0,3103.0,2.69,2.8,1661504730.0,0.0
4.234,0.172,-0.952,3.11,3.11,3.122,1.229,0.0,6920.19,1.56,963.0,5934.95,854.53,66.0,3136.0,2.69,2.8,1661504802.0,0.0
4.234,0.172,-0.952,3.11,3.11,3.159,1.229,0.0,6920.19,1.56,978.0,5934.97,854.53,66.0,3159.0,2.83,2.8,1661504874.0,0.0
4.308,0.154,-0.979,3.175,3.175,3.175,1.229,0.0,6920.19,1.56,994.0,5934.99,854.53,66.0,3164.0,2.83,2.8,1661504947.0,0.0
4.308,0.154,-0.979,3.175,3.175,3.196,1.229,0.0,6920.19,1.56,984.0,5935.0,854.53,67.0,3194.0,2.98,2.8,1661505022.0,0.0
4.354,0.141,-0.99,3.223,3.223,3.228,1.229,0.0,6920.19,1.56,983.0,5935.02,854.53,67.0,3214.0,2.98,2.8,1661505096.0,0.0
4.354,0.141,-0.99,3.223,3.223,3.267,1.229,0.0,6920.19,1.56,898.0,5935.04,854.53,67.0,3266.0,3.12,2.8,1661505168.0,0.0
4.44,0.239,-0.922,3.279,3.279,3.289,1.229,0.0,6920.19,1.56,932.0,5935.06,854.53,67.0,3289.0,3.12,2.8,1661505243.0,0.0
4.44,0.239,-0.922,3.279,3.279,3.302,1.229,0.0,6920.19,1.56,971.0,5935.08,854.53,67.0,3302.0,3.12,2.8,1661505318.0,0.0
4.493,0.189,-0.99,3.314,3.314,3.338,1.229,0.0,6920.19,1.56,989.0,5935.1,854.53,68.0,3348.0,3.28,2.8,1661505391.0,0.0
4.572,0.191,-1.005,3.376,3.376,3.365,1.229,0.0,6920.19,1.56,1095.0,5935.12,854.53,68.0,3371.0,3.28,2.8,1661505466.0,0.0
4.572,0.191,-1.005,3.376,3.376,3.404,1.229,0.0,6920.19,1.56,1103.0,5935.14,854.53,68.0,3409.0,3.43,2.8,1661505540.0,0.0
4.623,0.1,-1.111,3.412,3.412,3.416,1.229,0.0,6920.19,1.56,1111.0,5935.16,854.53,68.0,3429.0,3.43,2.8,1661505613.0,0.0
4.623,0.1,-1.111,3.412,3.412,3.457,1.229,0.0,6920.19,1.56,1125.0,5935.2,854.53,68.0,3452.0,3.55,2.8,1661505687.0,0.0
4.679,0.107,-1.119,3.453,3.453,3.448,1.229,0.0,6920.19,1.56,1124.0,5935.22,854.53,68.0,3474.0,3.55,2.8,1661505762.0,0.0
4.722,0.104,-1.131,3.487,3.487,3.496,1.229,0.0,6920.19,1.56,1129.0,5935.24,854.53,69.0,3492.0,3.55,2.8,1661505835.0,0.0
4.722,0.104,-1.131,3.487,3.487,3.504,1.229,0.0,6920.19,1.56,1135.0,5935.27,854.53,69.0,3503.0,3.7,2.8,1661505909.0,0.0
4.737,0.103,-1.134,3.5,3.5,3.525,1.229,0.0,6920.19,1.56,1138.0,5935.29,854.53,69.0,3514.0,3.7,2.8,1661505983.0,0.0
4.737,0.103,-1.134,3.5,3.5,3.537,1.229,0.0,6920.19,1.56,1148.0,5935.31,854.53,69.0,3534.0,3.87,2.8,1661506056.0,0.0
4.805,0.099,-1.152,3.554,3.554,3.573,1.229,0.0,6920.19,1.56,1159.0,5935.33,854.53,69.0,3583.0,3.87,2.8,1661506131.0,0.0
Modbus Error: [Input/Output] Modbus Error: [Invalid Message] No response received, expected at least 8 bytes (0 received)
Modbus Error: [Input/Output] Modbus Error: [Invalid Message] No response received, expected at least 8 bytes (0 received)
Modbus Error: [Input/Output] No Response received from the remote unit/Unable to decode response
Modbus Error: [Input/Output] No Response received from the remote unit/Unable to decode response
Modbus Error: [Input/Output] No Response received from the remote unit/Unable to decode response
Modbus Error: [Input/Output] No Response received from the remote unit/Unable to decode response
Modbus Error: [Input/Output] No Response received from the remote unit/Unable to decode response
Modbus Error: [Input/Output] No Response received from the remote unit/Unable to decode response
Modbus Error: [Input/Output] No Response received from the remote unit/Unable to decode response
Modbus Error: [Input/Output] No Response received from the remote unit/Unable to decode response
