Total input power,Load power,Grid power,Total battery power,Total active power,Input power,Peak active power of current day,Active power,Accumulated energy yield,Daily energy yield,[Power meter collection] Active power,Positive active electricity,Reverse active power,[Energy storage] SOC,[Energy storage] Charge/Discharge power,[Energy storage] Current-day charge capacity,[Energy storage] Current-day discharge capacity,System time,[Backup] Switch to off-grid
6.478,0.193,-1.464,4.821,4.821,4.849,1.229,0.0,6920.19,1.56,1465.0,5937.22,854.53,87.0,4846.0,9.75,2.8,1661511309.0,0.0
6.481,0.182,-1.463,4.836,4.836,4.84,1.229,0.0,6920.19,1.56,1462.0,5937.25,854.53,87.0,4834.0,9.75,2.8,1661511381.0,0.0
6.481,0.182,-1.463,4.836,4.836,4.866,1.229,0.0,6920.19,1.56,1467.0,5937.27,854.53,87.0,4851.0,9.75,2.8,1661511455.0,0.0
6.54,0.199,-1.466,4.875,4.875,4.883,1.229,0.0,6920.19,1.56,1469.0,5937.31,854.53,88.0,4884.0,9.9,2.8,1661511527.0,0.0
6.54,0.199,-1.466,4.875,4.875,4.872,1.229,0.0,6920.19,1.56,1467.0,5937.33,854.53,88.0,4880.0,9.9,2.8,1661511590.0,0.0
6.546,0.194,-1.465,4.887,4.887,4.885,1.229,0.0,6920.19,1.56,1364.0,5937.35,854.53,88.0,4887.0,10.13,2.8,1661511661.0,0.0
6.546,0.194,-1.465,4.887,4.887,4.898,1.229,0.0,6920.19,1.56,1370.0,5937.39,854.53,89.0,4905.0,10.13,2.8,1661511731.0,0.0
6.563,0.305,-1.369,4.889,4.889,4.921,1.229,0.0,6920.19,1.56,1379.0,5937.41,854.53,89.0,4912.0,10.37,2.8,1661511800.0,0.0
6.563,0.305,-1.369,4.889,4.889,4.927,1.229,0.0,6920.19,1.56,1391.0,5937.43,854.53,89.0,4919.0,10.37,2.8,1661511872.0,0.0
6.607,0.28,-1.393,4.934,4.934,4.933,1.229,0.0,6920.19,1.56,1396.0,5937.47,854.53,89.0,4926.0,10.37,2.8,1661511939.0,0.0
6.607,0.28,-1.393,4.934,4.934,4.946,1.229,0.0,6920.19,1.56,1485.0,5937.5,854.53,90.0,4946.0,10.59,2.8,1661512014.0,0.0
6.635,0.204,-1.486,4.945,4.945,4.947,1.229,0.0,6920.19,1.56,1484.0,5937.52,854.53,90.0,4946.0,10.59,2.8,1661512087.0,0.0
6.635,0.204,-1.486,4.945,4.945,4.977,1.229,0.0,6920.19,1.56,1497.0,5937.56,854.53,90.0,4978.0,10.83,2.8,1661512156.0,0.0
6.674,0.21,-1.493,4.971,4.971,4.994,1.229,0.0,6920.19,1.56,1500.0,5937.58,854.53,90.0,4980.0,10.83,2.8,1661512225.0,0.0
6.674,0.21,-1.493,4.971,4.971,4.985,1.229,0.0,6920.19,1.56,1490.0,5937.6,854.53,91.0,4996.0,10.83,2.8,1661512295.0,0.0
6.681,0.203,-1.49,4.988,4.988,5.006,1.229,0.0,6920.19,1.56,1507.0,5937.64,854.53,91.0,5011.0,11.07,2.8,1661512370.0,0.0
6.681,0.203,-1.49,4.988,4.988,5.022,1.229,0.0,6920.19,1.56,1510.0,5937.68,854.53,91.0,5000.0,11.07,2.8,1661512442.0,0.0
6.718,0.206,-1.508,5.004,5.004,5.028,1.229,0.0,6920.19,1.56,1567.0,5937.7,854.53,91.0,5034.0,11.31,2.8,1661512512.0,0.0
6.769,0.139,-1.565,5.065,5.065,5.053,1.229,0.0,6920.19,1.56,1562.0,5937.74,854.53,92.0,5064.0,11.31,2.8,1661512582.0,0.0
6.769,0.139,-1.565,5.065,5.065,5.03,1.229,0.0,6920.19,1.56,1562.0,5937.77,854.53,92.0,5031.0,11.31,2.8,1661512653.0,0.0
6.786,0.141,-1.572,5.073,5.073,5.04,1.229,0.0,6920.19,1.56,1448.0,5937.79,854.53,92.0,5028.0,11.55,2.8,1661512725.0,0.0
6.786,0.141,-1.572,5.073,5.073,4.993,1.229,0.0,6920.19,1.56,1465.0,5937.83,854.53,92.0,5022.0,11.55,2.8,1661512793.0,0.0
6.773,0.259,-1.466,5.048,5.048,5.053,1.229,0.0,6920.19,1.56,1474.0,5937.85,854.53,93.0,5061.0,11.71,2.8,1661512864.0,0.0
6.764,0.24,-1.478,5.046,5.046,5.073,1.229,0.0,6920.19,1.56,1473.0,5937.87,854.53,93.0,5049.0,11.71,2.8,1661512933.0,0.0
6.764,0.24,-1.478,5.046,5.046,5.04,1.449,1.196,6920.21,1.58,2638.0,5937.93,854.53,93.0,3897.0,11.71,2.8,1661513003.0,0.0
6.754,0.215,-1.488,5.051,5.051,5.034,1.449,0.837,6920.23,1.6,2392.0,5937.99,854.53,94.0,4246.0,11.95,2.8,1661513076.0,0.0
6.754,0.215,-1.488,5.051,5.051,5.072,1.449,0.526,6920.25,1.62,2103.0,5938.02,854.53,94.0,4590.0,11.95,2.8,1661513145.0,0.0
6.82,0.116,-1.953,4.751,4.751,5.101,1.449,0.203,6920.25,1.62,1755.0,5938.06,854.53,95.0,4922.0,12.14,2.8,1661513213.0,0.0
6.863,0.105,-1.708,5.05,5.05,5.131,1.449,0.08,6920.25,1.62,1720.0,5938.1,854.53,95.0,5052.0,12.14,2.8,1661513285.0,0.0
6.875,0.102,-1.723,5.05,5.05,5.034,5.034,5.031,6920.28,1.64,6638.0,5938.16,854.53,95.0,0.0,12.37,2.8,1661513355.0,0.0
6.765,0.148,-6.617,0.0,0.0,5.009,5.034,5.011,6920.37,1.74,6609.0,5938.27,854.53,95.0,0.0,12.37,2.8,1661513426.0,0.0
6.742,0.153,-6.589,0.0,0.0,4.996,5.034,4.996,6920.47,1.84,6596.0,5938.41,854.53,95.0,0.0,12.37,2.8,1661513497.0,0.0
6.714,0.123,-6.591,0.0,0.0,4.992,5.034,4.992,6920.57,1.94,6588.0,5938.54,854.53,95.0,0.0,12.41,2.8,1661513570.0,0.0
6.749,0.13,-6.619,0.0,0.0,5.022,5.034,5.019,6920.67,2.04,6623.0,5938.68,854.53,95.0,0.0,12.41,2.8,1661513642.0,0.0
6.77,0.167,-6.603,0.0,0.0,5.026,5.034,5.026,6920.77,2.14,6636.0,5938.81,854.53,95.0,0.0,12.41,2.8,1661513711.0,0.0
6.794,0.152,-6.642,0.0,0.0,5.051,5.052,5.051,6920.87,2.24,6673.0,5938.93,854.53,95.0,0.0,12.41,2.8,1661513780.0,0.0
6.695,0.208,-6.487,0.0,0.0,4.993,5.082,4.993,6920.96,2.33,6497.0,5939.06,854.53,95.0,0.0,12.41,2.8,1661513851.0,0.0
1.707,0.196,-1.511,0.0,0.0,1.026,5.133,1.026,6921.02,2.39,1202.0,5939.12,854.53,95.0,0.0,12.41,2.8,1661513924.0,0.0
1.375,0.208,-1.167,0.0,0.0,1.034,5.133,1.034,6921.04,2.41,1220.0,5939.14,854.53,95.0,0.0,12.41,2.8,1661513993.0,0.0
3.385,0.0,-3.385,0.0,0.0,1.557,5.133,1.557,6921.08,2.45,1658.0,5939.2,854.53,95.0,0.0,12.41,2.8,1661514065.0,0.0
