date,t_hs,t_hs_set,water_pressure,t_dhw,t_dhw_set,t_return,flow_rate,status_pump,runtime_comp,runtime_pump,posmix,qboh,qchhp,qsc,qch,qwp,qdhw,tvbh2,tliq2,tr2,ta2,tdhw2,mode,pump,ehs,bpv,t_v1,t_dhw1,t_vbh,t_outdoor_ot1,t_r1,v1,heat_slope,t_dhw_setpoint1,t_dhw_setpoint2,t_dhw_setpoint3,hyst_hp,t_ext,t_hc_set,t_hc,duration
2023-01-02 16:11:51.355455,30.5,0.0,1.245,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.4,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,32.4,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,32.4,0:00:09.762070
2023-01-02 16:12:31.139550,30.5,0.0,1.246,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.9,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,32.0,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,32.1,0:00:09.756150
2023-01-02 16:13:10.907429,30.5,0.0,1.245,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.9,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,31.9,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.9,0:00:09.737939
2023-01-02 16:13:50.675431,30.5,0.0,1.245,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,32.0,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,32.0,0:00:09.737825
2023-01-02 16:14:30.523619,30.5,0.0,1.246,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.2,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,32.2,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,32.1,0:00:09.820128
2023-01-02 16:15:10.451601,30.5,0.0,1.247,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.2,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,32.0,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,32.0,0:00:09.899458
2023-01-02 16:15:50.251760,30.5,0.0,1.247,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.2,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,32.2,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,32.2,0:00:09.772005
2023-01-02 16:16:30.051949,30.5,0.0,1.245,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.1,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,32.1,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,32.0,0:00:09.769822
2023-01-02 16:17:09.804015,30.5,0.0,1.247,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,31.9,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,31.9,0:00:09.730876
2023-01-02 16:17:49.588235,30.5,0.0,1.246,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.9,15.5,22.5,40.0,47.7,0,0,0,100,30.5,47.7,32.0,10.5,22.5,0,0.3,48.0,48.0,48.0,7.0,10.5,42.0,32.0,0:00:09.749508
2023-01-02 16:18:29.132427,30.6,0.0,1.245,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,22.5,40.0,47.7,0,0,0,100,30.6,47.7,32.1,10.4,22.5,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,32.0,0:00:09.520465
2023-01-02 16:19:08.740161,30.6,0.0,1.247,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.2,15.5,22.5,40.0,47.7,0,0,0,100,30.6,47.7,32.1,10.4,22.5,0,0.3,48.0,48.0,48.0,7.0,10.3,42.0,32.0,0:00:09.577306
2023-01-02 16:19:48.636449,30.6,0.0,1.247,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.1,15.5,22.5,40.0,47.7,0,0,0,100,30.6,47.7,32.1,10.4,22.5,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,32.1,0:00:09.865860
2023-01-02 16:20:28.404250,30.6,0.0,1.245,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,22.5,40.0,47.7,0,0,0,100,30.6,47.7,32.0,10.4,22.5,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,32.1,0:00:09.737445
2023-01-02 16:21:08.188050,30.6,0.0,1.246,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,22.5,40.0,47.7,0,0,0,100,30.6,47.7,32.0,10.3,22.5,0,0.3,48.0,48.0,48.0,7.0,10.3,42.0,32.0,0:00:09.753384
2023-01-02 16:21:48.020578,30.6,0.0,1.246,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.2,15.5,22.5,40.0,47.7,0,0,0,100,30.6,47.7,32.2,10.2,22.5,0,0.3,48.0,48.0,48.0,7.0,10.2,42.0,32.0,0:00:09.809127
2023-01-02 16:22:27.740687,30.6,0.0,1.246,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.9,15.5,22.5,40.0,47.7,0,0,0,100,30.7,47.7,32.0,10.3,22.5,0,0.3,48.0,48.0,48.0,7.0,10.3,42.0,31.9,0:00:09.689679
2023-01-02 16:23:07.525229,30.7,0.0,1.247,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.3,15.5,22.5,40.0,47.7,0,0,0,100,30.7,47.7,32.3,10.3,22.5,0,0.3,48.0,48.0,48.0,7.0,10.3,42.0,32.3,0:00:09.754237
2023-01-02 16:23:47.341587,30.7,0.0,1.247,47.7,48.0,22.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.1,15.5,22.5,40.0,47.7,0,0,0,100,30.7,47.7,32.0,10.3,22.5,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,31.9,0:00:09.785925
