total_input_power,load_power,grid_power,total_battery_power,total_active_power,input_power,day_active_power_peak,active_power,accumulated_yield_energy,daily_yield_energy,power_meter_active_power,grid_exported_energy,grid_accumulated_energy,storage_state_of_capacity,storage_charge_discharge_power,storage_current_day_charge_capacity,storage_current_day_discharge_capacity,system_time,backup_switch_to_off_grid
0.0,0.336,0.007,-0.329,0.0,0.0,6.308,0.334,6995.04,14.64,-1013.0,6001.62,854.78,90.0,-334.0,12.49,4.07,1661717638.0,0.0
0.0,2.079,-0.001,-2.08,0.0,0.0,6.308,2.082,6995.07,14.67,-5.0,6001.62,854.78,90.0,-2082.0,12.49,4.07,1661717699.0,0.0
0.0,0.307,0.023,-0.284,0.0,0.0,6.308,2.075,6995.09,14.69,-9.0,6001.62,854.78,90.0,-2071.0,12.49,4.11,1661717760.0,0.0
0.0,0.683,0.033,-0.65,0.0,0.0,6.308,0.311,6995.1,14.7,-1716.0,6001.62,854.78,90.0,-311.0,12.49,4.11,1661717819.0,0.0
0.0,1.226,-0.267,-1.493,0.0,0.0,6.308,0.287,6995.13,14.73,-21.0,6001.62,854.79,90.0,-287.0,12.49,4.11,1661717879.0,0.0
0.0,0.327,0.001,-0.326,0.0,0.0,6.308,0.328,6995.13,14.73,1.0,6001.62,854.79,90.0,-329.0,12.49,4.18,1661717939.0,0.0
0.0,0.323,0.0,-0.323,0.0,0.0,6.308,0.324,6995.14,14.74,-2.0,6001.62,854.79,90.0,-326.0,12.49,4.18,1661717998.0,0.0
0.0,0.327,0.0,-0.327,0.0,0.0,6.308,0.322,6995.15,14.75,0.0,6001.62,854.79,90.0,-322.0,12.49,4.18,1661718059.0,0.0
0.0,0.329,0.002,-0.327,0.0,0.0,6.308,0.329,6995.15,14.75,0.0,6001.62,854.79,90.0,-326.0,12.49,4.22,1661718118.0,0.0
0.0,0.233,-0.06,-0.293,0.0,0.0,6.308,0.24,6995.16,14.76,-149.0,6001.62,854.79,90.0,-272.0,12.49,4.22,1661718179.0,0.0
0.0,0.25,-0.002,-0.252,0.0,0.0,6.308,0.254,6995.16,14.76,-4.0,6001.62,854.79,90.0,-254.0,12.49,4.25,1661718238.0,0.0
